w,m
a series of ,一连串的+一系列+一套
add up,合计
Amsterdam,阿姆斯特丹（荷兰首都）
at dusk,在黄昏时刻 
be concerned about ,关心+挂念 
calm,平静的+镇静的+沉着的
calm,(使）平静+（使）镇定
concern, 担心+关注+（利害）关系 
concern,（使）担比：涉及+关系到
curtain,窗帘+门帘+幕布
disagree,不同意
dislike,不喜欢+厌恶
dusk,黄昏傍晚 
dusty ,积满灰尘的 
entire ,整个的+完全的+全部的 
entirely,完全地+全然地+整个地 
exactly,确实如此+正是+确切地 
face to face,面对面地
fall in love,相爱+爱上
German ,德国的+德国人的+德语的
German ,德国人+德语
get along with ,与…相处+进展
get/be tired of ,对…厌烦
go through,经历+经受
gossip,闲话+ 闲谈
grateful,感激的+表示谢意的
have got to ,不得不+必须 
highway,高速公路
ignore,不理睬+忽视
in order to,为了
item ,项目+条款
Jewish,犹太人的+犹太族的
join in,参加+加入
Kitty,基蒂（女名）
loneliness,孤单+寂寞 
loose ,松的+松开的 
Margot,玛戈（女名）
Nazi,纳粹党的 
Nazi,纳粹党人
Netherlands,荷兰（西欧国家）
no longer /not … any longer,不再
on purpose,故意
outdoors,在户外．在野外
overcoat,大衣+外套
pack,小包+包裹
pack,捆扎+包装+打行李
pack ( sth ) up,将（东西）装箱打包 
partner,伙伴+合作者+合伙人
power,能力+力量+权力
recover,痊愈+恢复
secondly,第二+其次
set down,记下+放下+登记 
settle,安家+定居+停留
settle,使定居+安排+解决
spellbind,迷住+迷惑
suffer,遭受+忍受经历
suffer from,遭受+患病 
suitcase,手提箱+衣箱
survey,调查+测验
swap,交换 
teenager,十几岁的青少年
thunder,雷+雷声
thunder,打雷+雷鸣
tip,提示+技巧+尖+尖端+小费
tip,倾斜+翻倒 
upset,心烦意乱的+不安的+不适的
upset,使不安+使心烦
vet ,兽医 
walk the dog,遛狗
accent,口音+腔调+重音
actually,实际上+事实上
AD,公元
African,非洲的+非洲人的+非洲语言的 
Amy  ,艾米（女名）
apartment,＜美＞公寓住宅+单元住宅
at present,现在+目前
base,基部+基地+基础
base,以……为根据 
because of ,因为
block,街区+块+木块+石块
Buford,布福德（姓氏+男名）
cab,出租车 
catfish,鲶鱼
come up,走近+上来+提出
command,命令+指令+掌握 
conquer,征服+占领
dialect,方言
eastern,东方的+东部的
elevator,电梯+升降机
enrich,使富裕+充实+改善
expression,词语+表示表达
fluent,流利的+流畅的
fluently,流利地+流畅地
frequent,频繁的+常见的
frequently,常常+频繁地
gas,汽油+气体+煤气+毒气
gradual,逐渐的+逐步的
gradually ,逐渐地+逐步地
Houston,休斯顿（美国城市）
identity,本身+本体 
latter,较后的+后平的+（两者中）后者的
