w,m
literature,文学+文学作品
article,文章+物品
journal,日报-杂志+日记
version,版本+译文
reference ,参考+提及+参考书目
available ,可获得的+可购得的+可找到的+有空的
electronic,电子的
access,使用+存取+接近
database,数据库-资料库
source,来源+水源+原始资料
abstract,摘要+抽象+抽象的概念[摘要+提取[抽象的+深奥的
interdisciplinary,各学科间的
approach,方法+途径+接近[接近+着手处理
mythology ,神话+神话学
solar, 太阳的+日光的
Jupiter,木星
presentation,展示+描述-陈述+介绍
contemporary,同时代的人+同时期的东西[当代的+同时代的
gallery,画廊+走廊
unfamiliar,不熟悉的+不常见的+没有经验的
depict,描述+描画
accessible,易接近的+可进入的+可理解的
chaotic,混沌的+混乱的-无秩序的
impressionism,印象派-印象主义
realism,现实主义+实在论
bleak,阴冷的+荒凉的+黯淡的+冷酷的+单调的
element,元素+要素+原理+成分
observe,观察+遵守+注意到
wrap,外套[包+缠绕+隐藏
vibrant,振动的+充满生气的+响亮的
illustration,说明+插图+例证+图解
convince,说服+使确信-使信服
determine,（使）下决心-（使）做出决定
formation,形成+构造
fundamental,基本原理+基本原则[基本的-根本的
refinement,精制+文雅+[化工]提纯
solidify,团结+凝固
obvious,明显的+显著的
revolutionary,革命的+大变革的
particle,颗粒
grain ,谷粒+颗粒
magma,[地质] 岩浆+糊剂
larva ,幼体-[昆] 幼虫
crystallize,使结晶+使具体化
granite,花岗岩
assumption,假定+设想
efficient,有效率的+有能力的
accurate,精确的
predict,预报-预言+预知
conclusively,最后地+决定性地
concentrate,集中+浓缩+全神贯注
original, 原件+原作[原始的+最初的
inhabitant,居民+居住者
settlement,解决-处理
Neolithic,[古] 新石器时代的+早先的
impressive,令人钦佩的+给人以深刻印象的
accomplish,完成+实现+达到
obsidian ,黑曜石
volcanic,火山岩[火山的+猛烈的
diagonal,对角线+斜线[斜的+对角线的
hatchway,舱口+天窗
storage,存储+仓库+贮藏所
smoky ,冒烟的+烟熏味的
soot,煤烟-烟灰[熏黑
feature,特色-特征+容貌[特写+以…为特色
burial,埋葬+葬礼/埋葬的
violent,暴力的+猛烈的
indicate,表明+指出+预示
ancestor,始祖-祖先
excavation,挖掘-发掘
layout,布局+设计+安排+陈列
speculate,推测+投机+思索
artifact,人工制品+手工艺品
cereal,谷类-谷物[谷类的
religious,宗教的+虔诚的
adapt,使适应+改编
species,[生物] 物种+种类
marmot, [脊椎] 旱獭-[脊椎] 土拨鼠
squirrel,松鼠
rodent,[脊椎] 啮齿动物/啮齿类的+咬的
portion,部分+一份
hibernate,过冬+（动物）冬眠+（人等）避寒
reside,住-居住+属于
temperate,温和的+适度的+有节制的
mate,配偶[使配对+使一致
availability,可用性+有效性+实用性
territorial, 领土的+区域的
ritual,仪式+惯例[仪式的+例行的
aggressive,侵略性的+好斗的+有进取心的
impersonal, 客观的+非个人的+没有人情味的
emerge,浮现+摆脱
offspring,后代-子孙+产物
mature,成熟+到期[成熟的+到期的+成年人的
vegetation,植被+植物
survive,幸存+生还+幸免于
survival ,幸存-残存+幸存者
bizarre,奇异的（指态度-容貌-款式等）
harsh,严厉的+严酷的+刺耳的+粗糙的
variation,变化+[生物] 变异-变种
summarize,总结+概述
general,普通的+综合的+大体的
casual,随便的+非正式的+临时的+偶然的
recognize,认出-识别+承认
evolution,演变+进化论+进展
meteorological,气象的+气象学的
analyze,对…进行分析-分解
statistical,统计的+统计学的
semester,学期+半年
regional,地区的+局部的
indicator,指示器
draft,草稿+汇票+草图
register,登记+注册+挂号
thesis,论文+论点
revise, 修正+复习+校订
credit,信用-信誉+学分+信任
behaviorism,行为主义
mental,精神的+脑力的+疯的
verify,核实+查证
accuracy,精确度-准确性
muscular,肌肉的+肌肉发达的+强健的
manifestation,表现+显示+示威运动
laryngeal,喉部+喉音[喉的+喉头治疗用的
larynx,[解剖] 喉+喉头
particular,详细说明[特别的+详细的+独有的
overt,明显的+公然的+蓄意的
covert,隐藏处+树丛[隐蔽的+隐密的
electrode,[电] 电极+电焊条
potential,潜能+可能性/潜在的+可能的
diligently,勤奋地+勤勉地
response,响应+反应+回答
motor,发动机-马达+汽车
identical,完全相同的事物/同一的+完全相同的
idiomatic,惯用的+符合语言习惯的+通顺的
equivalent,等价物-相等物/等价的-相等的
definitely ,清楚地+明确地-肯定地
due,应付款+应得之物[到期的+预期的+应付的
delay,延期+耽搁
fiber,纤维+光纤
textile,纺织品-织物[纺织的
 hemp,大麻+麻类植物
chiefly,主要地+首先
explosive,炸药+爆炸物/爆炸的+爆炸性的
flexible,灵活的+柔韧的+易弯曲的
resistant,抵抗的-反抗的+顽固的
characteristic,特征+特性/典型的+特有的
exceptionally,异常地+特殊地+例外地
combination,结合+组合+联合
degrade,降级-降解
zinc,锌
stainless,不锈的+纯洁的-未被玷污的
anchor,锚[抛锚
extract,汁+摘录+榨出物[提取+取出
rope,绳-绳索[捆-绑
bundle,束+捆
compose,组成+作曲
twist,捻+拧+扭伤+编织
Aristotle,亚里士多德
ethical,伦理的+道德的
distinction,区别+差别+特性
technical,工艺的-科技的+技术上的
term,术语+学期+期限+条款
extrinsic,外在的+外来的
intrinsic,本质的-固有的
engage,从事+占用+使参加+雇佣+使订婚
complicated,难懂的-复杂的
productive,能生产的+生产性的+多产的
professional,职业人员[专业的+职业的+职业性的
amateur,爱好者+业余爱好者[业余的+外行的
modest,谦虚的-谦逊的+适度的+端庄的
vary,改变+使多样化
universal,普遍的+通用的+宇宙的+全世界的
ultimate,最终的+极限的+根本的
yield,产量+收益[屈服-投降
attainment,达到+成就+学识
criteria,标准-条件
fame,名声-名望
obtain,获得+流行
seek,寻求+寻找+探索
